,res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,country_id,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway,type
461,18961617,Pappa Sai Naivedyam,Casual Dining,https://www.zomato.com/dehradun/pappa-sai-naivedyam-jakhan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"D5 Doon Apartment, Near SBI, Jakhan, Dehradun.",Dehradun,35,Jakhan,30.36349719,78.06918192,1,"Jakhan, Dehradun","North Indian, South Indian",8 AM to 11 PM,300,"Dinner, Takeaway Available, Breakfast, Lunch, Cash, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Smoking Area, Digital Payments Accepted",2.9,Average,19,1,0.0,1,-1,Casual Dining
462,18695841,Shri Ambey Bikaner Mishthan Bhandar,Sweet Shop,https://www.zomato.com/dehradun/shri-ambey-bikaner-mishthan-bhandar-garhi-cantt?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kaulagad Road, Rajendra Nagar, Garhi Cantt, Dehradun",Dehradun,35,Garhi Cantt,30.33900212,78.01999658,1,"Garhi Cantt, Dehradun","Street Food, Mithai",7 AM to 10 PM,400,"No Seating Available, Cash, Takeaway Available, Desserts and Bakes, Digital Payments Accepted",2.9,Average,6,38,0.0,1,-1,Sweet Shop
463,3500275,The Food Festival,Casual Dining,https://www.zomato.com/dehradun/the-food-festival-dharampur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Rispana Bridge, Haridwar Bypass Road, Dharampur, Dehradun",Dehradun,35,Dharampur,30.29539154,78.05498399,1,"Dharampur, Dehradun","North Indian, Chinese, Biryani, South Indian",11 AM to 11 PM (Mon-Sun),850,"Lunch, Delivery, Cash, Credit Card, Dinner, Indoor Seating, Air Conditioned",2.9,Average,14,19,0.0,1,-1,Casual Dining
464,19096732,Thaliwala.com,Restaurant/Shop,https://www.zomato.com/dehradun/thaliwala-com-dharampur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A13/1 Nehru Colony, Dharampur, Dehradun",Dehradun,35,Dharampur,30.29981175,78.05298921,1,"Dharampur, Dehradun",North Indian,11:30 AM to 11 PM,300,"Takeaway Available, Cash, Digital Payments Accepted",2.9,Average,4,7,0.0,1,-1,Restaurant/Shop
465,19097771,Hungry Birds,Quick Bites,https://www.zomato.com/dehradun/hungry-birds-2-prem-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Wing 6 279/3, Premnagar, Prem Nagar, Dehradun",Dehradun,35,Prem Nagar,30.33453169,77.96244979,1,"Prem Nagar, Dehradun","Chinese, Fast Food",11 AM to 11 PM,200,"Dinner, Cash, Lunch, Takeaway Available, Indoor Seating",2.9,Average,4,0,0.0,1,-1,Quick Bites
466,3500050,Banjaara Restaurant,Restaurant/Shop,https://www.zomato.com/dehradun/banjaara-restaurant-karanpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite St. Josephs Academy Back Gate, Subhash Road, Karanpur, Dehradun",Dehradun,35,Karanpur,30.3290696,78.04969534,1,"Karanpur, Dehradun","North Indian, Chinese",10 AM to 11 PM (Mon-Sun),800,"Delivery, Lunch, Cash, Dinner, Takeaway Available, Indoor Seating, Air Conditioned",2.9,Average,11,11,0.0,-1,-1,Restaurant/Shop
467,18901135,New Madras Cafe,Quick Bites,https://www.zomato.com/dehradun/new-madras-cafe-dharampur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B5-15 Nehru Colony, Haridwar Road, Dharampur, Dehradun",Dehradun,35,Dharampur,30.30200361,78.05206827,1,"Dharampur, Dehradun","South Indian, Beverages",4 PM to 9:30 PM,200,"Cash, Takeaway Available, Credit Card, Delivery, Debit Card, Indoor Seating, Digital Payments Accepted, Air Conditioned, Pure Veg",2.9,Average,18,3,0.0,-1,-1,Quick Bites
468,18698844,The Adda,Café,https://www.zomato.com/dehradun/the-adda-rajpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"19/10 Old Rajpur, Kairwaan Gaon, Rajpur, Dehradun",Dehradun,35,Rajpur,30.39915097,78.09689853,1,"Rajpur, Dehradun",Cafe,9 AM to 9:30 PM,400,"Breakfast, Smoking Area",2.9,Average,6,21,0.0,-1,-1,Café
469,18867866,Aarush Chocolate Corner,Bakery,https://www.zomato.com/dehradun/aarush-chocolate-corner-chironwali?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Sahastradhara Road, Besides Walk In Woods, Saundhon Wali, Chironwali, Dehradun",Dehradun,35,Chironwali,30.34300419,78.07278648,1,"Chironwali, Dehradun","Bakery, Fast Food",9 AM to 11 PM,200,"Cash, Takeaway Available, Delivery, Indoor Seating",2.9,Average,4,11,0.0,1,-1,Bakery
470,3501551,Bakery Wala,Quick Bites,https://www.zomato.com/dehradun/bakery-wala-chironwali?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Om Tower, Near IT Park, Sahastradhara Road, Aman Vihar, Near Chironwali, Dehradun",Dehradun,35,Chironwali,30.35382466,78.08167566,1,"Chironwali, Dehradun",Bakery,8 AM to 10 PM,250,"Cash, Debit Card, Breakfast, Takeaway Available, Credit Card, Indoor Seating, Digital Payments Accepted, Desserts and Bakes",2.9,Average,6,7,0.0,-1,-1,Quick Bites
